"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\src\app\(app)\library\books\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 8, 19, 230
"e:\FYP\educonnect-fyp\src\app\(app)\library\books\add\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 478, 0, 0, 0, 0, 0, 0, 12, 36, 526
"e:\FYP\educonnect-fyp\src\app\(app)\library\books\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 5, 17, 250
"e:\FYP\educonnect-fyp\src\app\(app)\library\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 4, 13, 205
"e:\FYP\educonnect-fyp\src\app\(app)\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\FYP\educonnect-fyp\src\app\(app)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\FYP\educonnect-fyp\src\app\(app)\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 10, 114
"e:\FYP\educonnect-fyp\src\app\(app)\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"e:\FYP\educonnect-fyp\src\app\(app)\thank-you\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\FYP\educonnect-fyp\src\app\(app)\try\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\FYP\educonnect-fyp\src\app\(app)\try\sign.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 4, 119
"e:\FYP\educonnect-fyp\src\app\(auth)\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\FYP\educonnect-fyp\src\app\(auth)\sign-up\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\FYP\educonnect-fyp\src\app\(auth)\verify\[username]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 10, 142
"e:\FYP\educonnect-fyp\src\app\404.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"e:\FYP\educonnect-fyp\src\app\500.tsx", "TypeScript JSX", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 1, 1, 210
"e:\FYP\educonnect-fyp\src\app\Landing\Page.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\FYP\educonnect-fyp\src\app\Landing\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\FYP\educonnect-fyp\src\app\Providers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 6, 48
"e:\FYP\educonnect-fyp\src\app\admin\articles\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 1, 19, 168
